sexo;comprimento;diametro;altura;peso total;peso carne;peso visceras;peso concha;aneis
I;0,55;0,44;0,14;11,77;0,37;0,15;0,23;8
F;0,55;0,45;0,15;1,06;0,35;0,16;0,21;9
I;0,55;0,43;0,15;10,29;0,3;0,13;0,25;10
I;0,55;0,41;0,14;1,07;0,27;0,12;0,19;8
I;0,55;0,43;0,15;13,07;0,37;0,17;0,22;11
F;0,55;0,41;0,13;20,5;0,3;0,14;0,2;9
M;0,55;0,43;0,15;1,5;0,41;0,19;0,25;9
I;0,55;0,44;0,14;1,6;0,33;0,16;0,23;10
I;0,55;0,43;0,14;10,91;0,33;0,15;0,22;9
M;0,56;0,44;0,14;10,99;0,41;0,16;0,26;9
I;0,56;0,43;0,16;1,02;0,31;0,14;0,28;10
I;0,56;0,43;0,14;1,44;0,34;0,17;0,23;9
I;0,56;0,43;0,15;1,81;0,35;0,18;0,23;9
I;0,56;0,43;0,14;1,78;0,37;0,19;0,24;9
I;0,56;0,43;0,15;2,17;0,31;0,13;0,22;9
F;0,56;0,45;0,16;21,51;0,56;0,32;0,27;10
I;0,56;0,46;0,15;1,26;0,55;0,16;0,24;9
I;0,57;0,44;0,18;1,76;0,41;0,21;0,21;11
F;0,57;0,45;0,15;13,86;0,42;0,17;0,23;8
M;0,57;0,45;0,15;18,07;0,36;0,18;0,22;8
M;0,57;0,39;0,13;15,95;0,35;0,13;0,17;11
I;0,57;0,45;0,15;14,55;0,28;0,22;0,22;10
I;0,57;0,45;0,14;2;0,38;0,14;0,25;8
F;0,57;0,46;0,14;22,39;0,4;0,25;0,27;9
M;0,57;0,44;0,17;10,04;0,38;0,18;0,27;10
I;0,57;0,44;0,13;1,13;0,35;0,18;0,2;10
M;0,57;0,44;0,13;1,15;0,38;0,18;0,28;9
F;0,58;0,42;0,14;1,14;0,46;0,15;0,21;10
F;0,58;0,48;0,17;1,01;0,51;0,21;0,31;9
M;0,58;0,46;0,16;1,13;0,44;0,18;0,22;10
M;0,58;0,46;0,16;1,07;0,67;0,27;0,3;10
M;0,58;0,46;0,14;1,18;0,41;0,17;0,2;10
F;0,58;0,45;0,15;1,38;0,4;0,16;0,25;8
M;0,59;0,47;0,16;14,39;0,46;0,2;0,24;9
M;0,59;0,49;0,19;12,28;0,52;0,25;0,34;10
I;0,59;0,48;0,16;14,42;0,48;0,23;0,29;10
M;0,59;0,46;0,17;1,47;0,58;0,23;0,27;10
M;0,59;0,47;0,17;1,66;0,8;0,23;0,3;10
M;0,59;0,48;0,15;17,48;0,53;0,2;0,29;10
M;0,59;0,45;0,18;1;0,34;0,19;0,24;8
I;0,59;0,45;0,14;1,23;0,33;0,17;0,23;9
M;0,59;0,47;0,18;1,03;0,6;0,23;0,31;9
M;0,59;0,46;0,16;12,94;0,39;0,19;0,28;10
F;0,6;0,47;0,15;10,57;0,41;0,2;0,23;10
F;0,6;0,47;0,16;17,86;0,46;0,11;0,31;12
M;0,6;0,48;0,17;12,26;0,51;0,27;0,31;10
M;0,6;0,48;0,16;12,57;0,45;0,19;0,33;11
I;0,6;0,48;0,15;1,16;0,57;0,25;0,27;10
F;0,6;0,47;0,16;1,4;0,48;0,25;0,28;11
F;0,6;0,46;0,15;1,83;0,42;0,17;0,27;10
M;0,6;0,46;0,16;17,72;0,45;0,19;0,3;11
I;0,61;0,49;0,15;11,96;0,63;0,23;0,33;11
M;0,61;0,49;0,14;1,34;0,42;0,21;0,32;10
I;0,61;0,44;0,13;11,82;0,43;0,17;0,26;11
F;0,61;0,48;0,18;10,15;0,46;0,22;0,34;9
F;0,61;0,47;0,16;1,22;0,54;0,22;0,28;12
M;0,61;0,45;0,15;10,11;0,41;0,18;0,25;10
M;0,61;0,48;0,17;10,77;0,63;0,26;0,31;12
M;0,61;0,48;0,17;1,34;0,44;0,23;0,3;10
I;0,61;0,47;0,15;13,71;0,45;0,17;0,29;9
M;0,61;0,48;0,17;17,02;0,46;0,29;0,35;10
M;0,61;0,46;0,16;12,44;0,49;0,2;0,28;10
F;0,62;0,48;0,16;14,14;0,45;0,19;0,29;10
M;0,62;0,47;0,17;1,07;0,45;0,22;0,34;10
M;0,62;0,5;0,17;1,48;0,48;0,23;0,3;10
F;0,62;0,48;0,17;12,92;0,49;0,2;0,3;12
M;0,62;0,48;0,17;13,11;0,48;0,3;0,3;10
M;0,62;0,48;0,18;14,92;0,45;0,32;0,3;9
F;0,62;0,48;0,16;1,49;0,48;0,21;0,36;10
M;0,62;0,51;0,18;11,97;0,57;0,24;0,39;10
M;0,62;0,5;0,18;1,67;0,58;0,25;0,36;12
F;0,62;0,5;0,15;19,13;0,6;0,31;0,35;10
F;0,62;0,48;0,16;1,91;0,46;0,27;0,33;10
M;0,63;0,46;0,17;17,5;0,5;0,23;0,32;9
F;0,63;0,51;0,18;12,83;0,55;0,26;0,3;11
F;0,63;0,52;0,16;16,65;0,57;0,33;0,32;9
F;0,63;0,48;0,16;12,42;0,59;0,24;0,32;12
F;0,63;0,49;0,17;13,19;0,59;0,35;0,35;9
I;0,63;0,51;0,18;13,46;0,6;0,3;0,32;11
M;0,63;0,49;0,15;10,81;0,51;0,18;0,34;12
I;0,63;0,48;0,15;1,11;0,52;0,22;0,28;10
M;0,63;0,5;0,16;1,23;0,5;0,22;0,32;12
M;0,64;0,49;0,16;12,36;0,53;0,19;0,35;10
F;0,64;0,5;0,17;12,4;0,71;0,26;0,39;9
F;0,64;0,5;0,18;1,36;0,71;0,27;0,32;9
M;0,64;0,48;0,17;1,4;0,52;0,27;0,37;10
M;0,64;0,51;0,16;1,36;0,41;0,23;0,31;10
M;0,64;0,57;0,23;1,67;0,64;0,37;0,41;15
M;0,64;0,53;0,18;17,41;0,49;0,3;0,41;10
M;0,65;0,51;0,16;16,65;0,56;0,24;0,35;11
M;0,65;0,5;0,2;20,51;0,62;0,35;0,37;10
M;0,65;0,53;0,16;1,05;0,75;0,25;0,43;11
F;0,65;0,51;0,17;1,18;0,48;0,27;0,35;11
F;0,65;0,59;0,22;10,95;0,77;0,38;0,44;11
M;0,65;0,53;0,18;19,49;0,69;0,36;0,41;11
M;0,65;0,51;0,19;1,54;0,72;0,37;0,38;9
F;0,65;0,51;0,17;1,57;0,72;0,35;0,39;10
F;0,66;0,53;0,19;13,6;0,56;0,32;0,4;10
M;0,66;0,54;0,21;16,45;0,73;0,36;0,46;13
F;0,66;0,52;0,19;14,55;0,6;0,39;0,38;10
M;0,66;0,49;0,18;13,59;0,64;0,29;0,37;10
F;0,66;0,5;0,21;1,55;0,72;0,35;0,39;10
F;0,66;0,52;0,17;1,34;0,62;0,31;0,36;10
F;0,67;0,53;0,18;1,49;0,63;0,34;0,44;10
F;0,67;0,53;0,23;15,62;0,63;0,49;0,37;11
F;0,67;0,51;0,18;10,15;0,44;0,27;0,37;10
M;0,68;0,55;0,19;17,38;0,88;0,31;0,47;13
M;0,69;0,55;0,21;17,93;0,81;0,42;0,46;9
F;0,7;0,57;0,19;17,64;0,75;0,4;0,5;11
F;0,7;0,55;0,13;1,56;0,67;0,37;0,2;12
M;0,71;0,57;0,52;2,14;11075;0,49;0,51;10
M;0,71;0,56;0,22;15,35;10465;0,38;0,53;11
F;0,71;0,57;0,18;1,61;0,96;0,42;0,43;12
F;0,71;0,55;0,17;19,34;0,74;0,35;0,45;11
F;0,72;0,58;0,17;2,17;0,91;0,39;0,51;13
M;0,72;0,58;0,22;1,74;0,95;0,56;0,54;12
F;0,73;0,6;0,2;17,38;0,7;0,36;0,6;11
F;0,73;0,58;0,19;21,28;0,68;0,43;0,52;11
F;0,74;0,57;0,21;25,09;0,95;0,46;0,57;12
F;0,75;0,57;0,22;2,26;11565;0,45;0,56;9
F;0,75;0,61;0,24;1,17;1232;0,52;0,61;14
F;0,82;0,65;0,25;1,15;0,89;0,42;0,8;14
I;0,14;0,11;0,04;1,26;0,01;0;0;3
I;0,23;0,17;0,06;1,2;0,02;0,01;0,04;4
I;0,37;0,27;0,14;1,29;0,11;0,05;0,06;7
I;0,37;0,26;0,08;11,01;0,08;0,03;0,05;5
I;0,37;0,27;0,1;1,05;0,13;0,04;0,06;6
I;0,38;0,28;0,09;1,01;0,19;0,05;0,07;7
I;0,39;0,3;0,09;10,73;0,12;0,04;0,07;5
I;0,4;0,3;0,09;14,11;0,14;0,07;0,08;5
I;0,4;0,29;0,11;1,14;0,19;0,05;0,08;6
I;0,4;0,3;0,09;11,01;0,12;0,06;0,08;7
I;0,41;0,31;0,1;11,11;0,18;0,06;0,09;8
I;0,41;0,29;0,09;11,32;0,11;0,08;0,08;7
I;0,41;0,3;0,11;1,27;0,15;0,06;0,08;6
I;0,41;0,32;0,1;1,34;0,14;0,06;0,07;5
M;0,42;0,32;0,12;11,35;0,2;0,07;0,1;9
I;0,43;0,34;0,11;1,31;0,2;0,09;0,09;6
I;0,43;0,34;0,11;15,34;0,24;0,07;0,11;6
I;0,44;0,34;0,11;1,55;0,16;0,08;0,1;5
M;0,44;0,32;0,12;1,54;0,24;0,09;0,1;8
I;0,44;0,37;0,11;1,32;0,21;0,09;0,11;9
M;0,45;0,34;0,13;15,25;0,22;0,13;0,11;6
I;0,46;0,34;0,14;1,47;0,27;0,1;0,11;7
I;0,46;0,36;0,11;13,83;0,2;0,1;0,13;8
I;0,47;0,35;0,14;1,18;0,23;0,11;0,12;9
I;0,47;0,35;0,13;15,56;0,19;0,12;0,12;6
I;0,47;0,36;0,12;17,84;0,13;0,08;0,14;6
M;0,48;0,37;0,13;1,37;0,35;0,14;0,14;8
I;0,48;0,37;0,12;1,39;0,22;0,09;0,12;7
F;0,48;0,37;0,12;17,03;0,28;0,12;0,13;7
I;0,48;0,36;0,13;15,27;0,28;0,1;0,15;7
I;0,49;0,38;0,12;1,52;0,21;0,11;0,15;6
M;0,49;0,39;0,09;1,74;0,29;0,1;0,2;8
M;0,49;0,37;0,13;16,12;0,25;0,11;0,16;6
F;0,5;0,38;0,12;17,83;0,27;0,13;0,14;7
M;0,51;0,39;0,11;1,68;0,24;0,12;0,16;9
F;0,51;0,38;0,14;1,86;0,36;0,16;0,16;9
I;0,52;0,4;0,13;1,68;0,27;0,1;0,17;8
M;0,52;0,43;0,15;21,06;0,5;0,18;0,22;8
I;0,52;0,4;0,13;18,73;0,25;0,12;0,17;7
M;0,52;0,4;0,13;1,89;0,25;0,14;0,15;8
M;0,53;0,4;0,14;1,12;0,37;0,15;0,17;8
I;0,53;0,43;0,13;10,31;0,35;0,14;0,19;9
M;0,53;0,4;0,13;10,34;0,4;0,15;0,18;8
F;0,55;0,41;0,14;1,21;0,36;0,18;0,2;9
F;0,55;0,43;0,14;1,02;0,38;0,22;0,19;8
M;0,55;0,43;0,16;10,65;0,34;0,2;0,22;9
F;0,56;0,43;0,15;1,06;0,45;0,16;0,22;8
F;0,56;0,44;0,15;1,19;0,48;0,18;0,18;9
M;0,57;0,45;0,15;1,43;0,5;0,21;0,25;8
M;0,58;0,47;0,15;10,73;0,6;0,21;0,24;9
M;0,58;0,46;0,17;12,41;0,4;0,25;0,24;8
F;0,58;0,46;0,18;1,02;0,65;0,22;0,31;9
F;0,58;0,44;0,14;11,16;0,48;0,22;0,21;9
M;0,59;0,46;0,15;11,19;0,41;0,23;0,23;8
M;0,59;0,44;0,15;12,8;0,39;0,22;0,25;8
F;0,59;0,47;0,15;10,18;0,61;0,24;0,25;9
F;0,59;0,46;0,15;1,22;0,45;0,22;0,28;8
F;0,6;0,46;0,16;1,15;0,45;0,27;0,29;9
M;0,6;0,46;0,16;13,26;0,44;0,21;0,25;8
M;0,6;0,47;0,2;1,22;0,64;0,2;0,36;9
F;0,61;0,49;0,17;1,14;0,45;0,19;0,28;11
F;0,61;0,49;0,16;1,07;0,42;0,29;0,38;9
F;0,61;0,52;0,17;12,22;0,6;0,29;0,33;9
F;0,61;0,49;0,17;1,27;0,51;0,23;0,31;11
I;0,62;0,48;0,13;10,41;0,35;0,19;0,25;8
M;0,62;0,49;0,16;11,17;0,46;0,23;0,25;10
F;0,62;0,44;0,16;10,85;0,48;0,24;0,28;8
M;0,62;0,48;0,17;10,99;0,48;0,24;0,31;9
M;0,63;0,52;0,18;11,96;0,69;0,32;0,35;10
M;0,63;0,47;0,18;1,36;0,45;0,32;0,31;11
M;0,63;0,47;0,15;1,04;0,52;0,26;0,28;9
F;0,63;0,5;0,18;10,92;0,47;0,27;0,33;10
M;0,63;0,46;0,15;11,97;0,48;0,27;0,31;9
M;0,63;0,48;0,15;11,75;0,66;0,24;0,31;11
F;0,63;0,49;0,23;1,23;0,68;0,26;0,32;10
F;0,64;0,51;0,15;12,7;0,51;0,27;0,32;10
M;0,64;0,51;0,19;1,49;0,54;0,32;0,38;8
F;0,64;0,52;0,21;14,35;0,66;0,33;0,4;9
F;0,65;0,52;0,18;12,44;0,7;0,37;0,42;10
M;0,65;0,51;0,16;12,62;0,64;0,36;0,43;11
F;0,65;0,51;0,17;12,24;0,55;0,3;0,34;11
F;0,65;0,55;0,18;1,25;0,59;0,33;0,5;10
M;0,65;0,52;0,18;1,71;0,68;0,3;0,4;10
F;0,65;0,5;0,16;11,61;0,7;0,3;0,32;9
M;0,65;0,49;0,14;1,29;0,48;0,24;0,22;8
F;0,66;0,54;0,22;15,6;0,7;0,3;0,44;11
M;0,66;0,51;0,22;14,75;0,89;0,41;0,42;11
M;0,66;0,51;0,17;1,23;0,59;0,35;0,35;10
F;0,67;0,52;0,18;12,42;0,59;0,32;0,4;10
M;0,67;0,55;0,2;13,38;0,83;0,37;0,41;11
M;0,67;0,51;0,18;1,36;0,65;0,45;0,35;10
M;0,67;0,5;0,19;12,22;0,62;0,39;0,42;10
F;0,68;0,5;0,19;1,37;0,77;0,33;0,47;12
M;0,68;0,52;0,17;1,34;0,84;0,31;0,4;11
M;0,69;0,53;0,2;1,27;0,92;0,33;0,46;12
F;0,7;0,55;0,17;1,49;0,75;0,33;0,32;11
M;0,7;0,56;0,2;13,84;0,73;0,37;0,6;11
M;0,71;0,56;0,17;1,27;0,8;0,41;0,39;10
M;0,72;0,57;0,2;1,04;1017;0,36;0,49;12
M;0,73;0,58;0,24;13,49;1351;0,41;0,5;13
M;0,74;0,57;0,18;14,41;0,91;0,43;0,45;10
M;0,75;0,55;0,18;13,2;0,94;0,4;0,45;11
I;0,21;0,17;0,05;15,18;0,02;0,01;0,01;5
I;0,29;0,21;0,06;15,51;0,04;0,02;0,03;5
I;0,3;0,22;0,07;16,38;0,05;0,02;0,04;6
I;0,3;0,23;0,09;1,44;0,05;0,02;0,04;6
I;0,31;0,23;0,09;1,29;0,06;0,03;0,04;6
I;0,34;0,26;0,08;12,92;0,08;0,04;0,05;5
I;0,35;0,26;0,08;13,73;0,09;0,02;0,06;5
I;0,36;0,27;0,08;12,98;0,08;0,03;0,05;6
I;0,36;0,26;0,09;12,59;0,07;0,05;0,06;7
I;0,36;0,27;0,1;1,57;0,07;0,06;0,06;8
I;0,36;0,28;0,08;1,62;0,1;0,04;0,07;7
I;0,36;0,27;0,08;12,84;0,08;0,04;0,06;7
I;0,37;0,27;0,09;1,38;0,09;0,05;0,07;7
I;0,37;0,27;0,1;14,54;0,1;0,05;0,07;6
I;0,38;0,28;0,08;16,08;0,09;0,09;0,07;7
I;0,38;0,29;0,1;13,74;0,09;0,07;0,08;7
I;0,38;0,29;0,1;1,64;0,11;0,04;0,08;6
I;0,39;0,29;0,09;1,57;0,1;0,05;0,08;8
I;0,39;0,28;0,1;18,57;0,12;0,06;0,07;7
I;0,39;0,3;0,09;1,77;0,15;0,06;0,08;8
I;0,39;0,3;0,09;2,01;0,11;0,05;0,08;7
I;0,39;0,29;0,1;19,81;0,13;0,06;0,08;7
I;0,39;0,29;0,1;15,81;0,1;0,05;0,07;7
I;0,41;0,3;0,09;2,02;0,13;0,07;0,1;8
I;0,41;0,3;0,09;18,28;0,14;0,06;0,08;8
I;0,42;0,33;0,1;2,13;0,14;0,06;0,1;7
I;0,43;0,33;0,11;1,45;0,14;0,05;0,09;8
I;0,43;0,32;0,08;21,43;0,13;0,06;0,1;7
I;0,44;0,34;0,1;19,43;0,13;0,07;0,11;7
I;0,44;0,33;0,11;1,75;0,16;0,08;0,11;6
I;0,45;0,34;0,1;2,12;0,14;0,06;0,11;8
I;0,45;0,34;0,11;1,94;0,18;0,09;0,13;7
I;0,46;0,36;0,12;22,21;0,21;0,09;0,15;10
I;0,46;0,35;0,11;25,16;0,18;0,08;0,12;7
I;0,46;0,36;0,11;27,8;0,2;0,08;0,13;7
I;0,47;0,37;0,12;10,62;0,19;0,08;0,15;9
I;0,47;0,35;0,11;1,01;0,18;0,07;0,12;8
I;0,47;0,36;0,13;10,84;0,21;0,1;0,16;8
I;0,48;0,36;0,15;1,36;0,28;0,14;0,19;8
M;0,48;0,36;0,1;11,19;0,2;0,1;0,11;7
I;0,48;0,36;0,13;1,21;0,21;0,13;0,13;8
I;0,48;0,37;0,13;13,41;0,18;0,1;0,18;9
I;0,48;0,37;0,12;1,03;0,25;0,11;0,15;8
M;0,48;0,36;0,16;13,01;0,22;0,11;0,24;8
I;0,49;0,38;0,13;1,04;0,29;0,13;0,16;7
I;0,49;0,38;0,12;12,53;0,2;0,09;0,14;8
I;0,49;0,4;0,14;11,14;0,3;0,13;0,17;8
I;0,5;0,37;0,13;11,16;0,21;0,09;0,15;8
I;0,5;0,4;0,11;10,87;0,25;0,13;0,19;8
I;0,5;0,4;0,12;1,25;0,26;0,14;0,19;8
I;0,5;0,39;0,12;1,17;0,25;0,15;0,17;8
I;0,5;0,38;0,14;1,17;0,24;0,14;0,17;9
I;0,51;0,4;0,13;11,85;0,28;0,14;0,16;7
F;0,52;0,38;0,11;10,73;0,3;0,13;0,15;6
I;0,52;0,36;0,13;13,82;0,18;0,13;0,14;9
I;0,52;0,35;0,11;16,13;0,21;0,12;0,13;10
I;0,52;0,4;0,13;17,4;0,32;0,14;0,17;8
I;0,52;0,39;0,13;15,48;0,24;0,13;0,19;8
I;0,52;0,41;0,15;14,25;0,3;0,16;0,17;9
I;0,52;0,39;0,13;13,41;0,24;0,11;0,19;7
M;0,53;0,42;0,15;14,47;0,35;0,16;0,29;8
I;0,53;0,39;0,12;15,85;0,31;0,15;0,18;9
I;0,53;0,38;0,14;1,68;0,26;0,16;0,18;8
I;0,53;0,4;0,14;1,73;0,31;0,16;0,17;7
M;0,53;0,4;0,16;15,4;0,28;0,16;0,23;9
I;0,53;0,42;0,12;2,07;0,26;0,14;0,18;7
I;0,53;0,43;0,14;15,87;0,25;0,15;0,21;10
I;0,53;0,4;0,15;2,07;0,19;0,13;0,2;9
I;0,53;0,42;0,13;10,02;0,37;0,17;0,25;11
I;0,54;0,4;0,13;10,01;0,28;0,16;0,18;7
I;0,54;0,43;0,17;1,01;0,37;0,18;0,24;9
I;0,54;0,43;0,14;1,1;0,32;0,14;0,25;9
I;0,54;0,43;0,14;10,47;0,39;0,17;0,23;9
M;0,54;0,46;0,14;11,81;0,42;0,26;0,27;10
I;0,54;0,42;0,14;1,13;0,25;0,12;0,24;9
I;0,54;0,43;0,13;1,07;0,3;0,17;0,23;10
I;0,54;0,43;0,14;11,16;0,35;0,15;0,21;8
I;0,55;0,4;0,13;1,03;0,33;0,15;0,18;9
I;0,55;0,38;0,12;11,19;0,24;0,12;0,17;8
I;0,55;0,42;0,13;11,79;0,36;0,11;0,22;8
M;0,55;0,44;0,14;10,29;0,33;0,17;0,26;10
I;0,55;0,43;0,15;10,88;0,27;0,13;0,22;9
I;0,55;0,42;0,14;1,26;0,4;0,15;0,23;12
I;0,55;0,42;0,15;1,22;0,37;0,16;0,22;8
I;0,55;0,43;0,15;1,04;0,34;0,18;0,21;8
I;0,56;0,4;0,13;1,2;0,22;0,12;0,17;9
I;0,56;0,44;0,14;1,06;0,39;0,15;0,21;8
I;0,56;0,46;0,15;15,15;0,38;0,16;0,28;11
I;0,56;0,45;0,15;1,31;0,37;0,19;0,24;10
I;0,56;0,44;0,13;10,3;0,35;0,15;0,2;8
M;0,56;0,43;0,14;10,49;0,33;0,22;0,26;10
I;0,57;0,42;0,16;1,33;0,31;0,19;0,23;9
F;0,57;0,44;0,15;11,57;0,44;0,15;0,27;9
M;0,57;0,44;0,13;1,35;0,36;0,18;0,22;9
M;0,57;0,43;0,15;12,53;0,42;0,17;0,22;10
F;0,57;0,45;0,14;12,7;0,33;0,19;0,21;8
M;0,57;0,45;0,14;13,41;0,34;0,15;0,25;9
I;0,57;0,44;0,17;12,9;0,4;0,17;0,25;9
I;0,57;0,43;0,15;1,2;0,35;0,14;0,28;10
I;0,57;0,45;0,16;1,27;0,37;0,17;0,28;9
I;0,57;0,45;0,15;1,23;0,31;0,17;0,18;12
M;0,58;0,46;0,17;11,9;0,38;0,18;0,27;8
I;0,58;0,43;0,14;11,15;0,36;0,2;0,24;10
F;0,58;0,47;0,16;13,12;0,51;0,24;0,34;10
I;0,58;0,45;0,13;11,29;0,33;0,19;0,24;9
M;0,58;0,47;0,19;14,2;0,37;0,22;0,36;10
F;0,58;0,47;0,2;16,2;0,42;0,25;0,47;8
I;0,58;0,45;0,17;15,54;0,35;0,15;0,25;9
I;0,58;0,45;0,14;1,24;0,36;0,18;0,25;10
F;0,58;0,44;0,15;1,19;0,46;0,22;0,36;8
M;0,58;0,45;0,16;1,38;0,4;0,2;0,24;9
M;0,58;0,44;0,16;1,41;0,48;0,17;0,28;13
F;0,58;0,44;0,15;1,35;0,43;0,15;0,23;8
M;0,58;0,46;0,16;11,45;0,47;0,22;0,3;10
M;0,58;0,43;0,13;14,42;0,37;0,17;0,23;10
I;0,58;0,45;0,13;1,22;0,3;0,14;0,24;9
F;0,59;0,45;0,14;12,48;0,43;0,22;0,25;10
M;0,59;0,49;0,17;12,7;0,56;0,24;0,31;10
I;0,59;0,45;0,15;1,43;0,43;0,27;0,27;10
I;0,59;0,46;0,15;14,02;0,42;0,18;0,26;11
F;0,6;0,44;0,15;1,31;0,42;0,17;0,27;8
M;0,6;0,45;0,14;1,47;0,4;0,19;0,22;10
M;0,6;0,45;0,15;1,62;0,46;0,21;0,25;10
I;0,6;0,46;0,15;1,53;0,38;0,19;0,24;8
F;0,6;0,46;0,16;13,85;0,43;0,2;0,3;8
F;0,6;0,48;0,15;16,92;0,58;0,2;0,31;9
M;0,6;0,48;0,17;15,72;0,41;0,2;0,27;9
I;0,6;0,48;0,17;1,77;0,38;0,22;0,29;8
F;0,6;0,48;0,18;14,41;0,45;0,25;0,33;10
M;0,6;0,47;0,17;16,25;0,5;0,24;0,28;9
M;0,6;0,47;0,16;1,87;0,56;0,3;0,26;10
F;0,61;0,46;0,15;16,71;0,47;0,18;0,28;9
M;0,61;0,48;0,15;2,08;0,38;0,19;0,27;8
I;0,61;0,47;0,15;16,2;0,38;0,23;0,22;9
F;0,61;0,48;0,14;18,33;0,47;0,23;0,24;8
F;0,61;0,47;0,16;2,17;0,39;0,22;0,33;9
F;0,61;0,51;0,18;1,06;0,73;0,26;0,43;11
M;0,61;0,48;0,16;1,12;0,46;0,23;0,27;10
F;0,61;0,47;0,16;1,11;0,48;0,25;0,28;10
F;0,61;0,49;0,15;13,49;0,6;0,29;0,31;12
M;0,61;0,47;0,16;15,66;0,45;0,23;0,29;9
F;0,61;0,48;0,16;1,08;0,38;0,22;0,38;10
I;0,61;0,47;0,13;11,35;0,44;0,19;0,26;9
M;0,61;0,47;0,17;12,44;0,52;0,24;0,31;9
F;0,61;0,49;0,18;1,06;0,57;0,29;0,36;7
M;0,62;0,47;0,16;12,1;0,47;0,24;0,28;10
M;0,62;0,48;0,18;1,24;0,6;0,26;0,31;9
I;0,62;0,49;0,18;1,64;0,49;0,26;0,32;12
F;0,62;0,52;0,16;17,73;0,67;0,26;0,34;12
M;0,62;0,52;0,18;12,53;0,54;0,24;0,4;13
F;0,62;0,54;0,17;1,76;0,5;0,24;0,36;11
I;0,62;0,49;0,16;13,17;0,45;0,25;0,31;11
F;0,62;0,48;0,18;1,91;0,58;0,27;0,31;12
I;0,62;0,47;0,14;16,9;0,36;0,16;0,3;9
I;0,62;0,45;0,14;2,03;0,36;0,23;0,3;10
M;0,62;0,48;0,15;1,04;0,63;0,26;0,31;12
F;0,62;0,48;0,18;16,89;0,46;0,22;0,3;9
M;0,63;0,49;0,17;21,84;0,49;0,26;0,33;11
M;0,63;0,48;0,16;12,11;0,5;0,24;0,31;10
M;0,63;0,5;0,17;11,51;0,46;0,22;0,35;9
I;0,63;0,47;0,16;1,5;0,64;0,21;0,31;12
F;0,63;0,49;0,18;1,97;0,68;0,26;0,37;10
I;0,63;0,49;0,15;12,28;0,44;0,29;0,28;9
M;0,63;0,51;0,17;12,72;0,46;0,27;0,3;9
F;0,63;0,5;0,18;1,81;0,51;0,23;0,4;8
M;0,63;0,49;0,17;13,91;0,53;0,27;0,34;11
M;0,63;0,49;0,17;18,47;0,66;0,23;0,3;10
M;0,63;0,5;0,18;22;0,61;0,27;0,33;11
I;0,64;0,5;0,17;1,82;0,72;0,34;0,36;13
M;0,64;0,5;0,17;1,14;0,61;0,31;0,42;12
F;0,64;0,49;0,18;11,85;0,58;0,31;0,31;10
F;0,64;0,49;0,17;1,1;0,54;0,27;0,38;9
F;0,64;0,51;0,17;1,07;0,52;0,27;0,36;10
M;0,64;0,52;0,18;1,28;0,55;0,29;0,37;10
M;0,64;0,53;0,19;10,6;0,76;0,42;0,44;11
M;0,65;0,51;0,15;14,94;0,52;0,26;0,34;10
M;0,65;0,5;0,18;10,41;0,56;0,29;0,39;12
M;0,65;0,5;0,19;1,6;0,74;0,37;0,38;14
M;0,65;0,51;0,19;14,01;0,61;0,35;0,48;9
M;0,65;0,51;0,2;1,41;0,59;0,22;0,37;10
M;0,65;0,51;0,16;15,77;0,67;0,31;0,32;9
F;0,65;0,51;0,16;12,13;0,58;0,28;0,32;9
M;0,65;0,5;0,18;16,31;0,55;0,31;0,42;10
F;0,65;0,51;0,19;1,14;0,57;0,36;0,36;10
M;0,65;0,49;0,15;1,37;0,57;0,27;0,33;9
F;0,65;0,48;0,19;1,54;0,69;0,29;0,35;12
F;0,65;0,5;0,16;1,04;0,62;0,32;0,34;9
M;0,65;0,51;0,19;1,35;0,59;0,23;0,39;11
M;0,65;0,53;0,19;10,97;0,67;0,34;0,38;11
M;0,65;0,51;0,16;1,23;0,64;0,29;0,37;9
M;0,66;0,55;0,18;1,11;0,59;0,28;0,37;10
F;0,66;0,51;0,15;1,17;0,48;0,22;0,31;9
F;0,66;0,51;0,19;15,46;0,59;0,27;0,43;12
F;0,66;0,51;0,2;12,68;0,69;0,38;0,36;11
M;0,66;0,5;0,17;14,29;0,67;0,27;0,34;9
F;0,66;0,54;0,18;1,79;0,71;0,31;0,42;12
M;0,66;0,53;0,2;11,01;0,65;0,33;0,5;10
M;0,66;0,51;0,17;1,46;0,77;0,35;0,39;14
M;0,67;0,53;0,18;2,23;0,66;0,38;0,35;11
M;0,67;0,51;0,16;12,13;0,61;0,25;0,37;11
F;0,67;0,51;0,16;10,68;0,63;0,29;0,32;11
M;0,67;0,52;0,18;1,16;0,61;0,32;0,4;12
M;0,67;0,5;0,18;1,6;0,61;0,31;0,32;9
M;0,67;0,51;0,16;1,41;0,63;0,31;0,31;12
M;0,67;0,52;0,17;2,03;0,71;0,29;0,3;11
F;0,67;0,52;0,19;1,26;0,52;0,31;0,43;13
F;0,67;0,55;0,16;10,94;0,86;0,34;0,35;10
F;0,67;0,54;0,2;11,81;0,74;0,33;0,47;11
M;0,68;0,53;0,16;1,01;0,57;0,28;0,35;13
F;0,68;0,51;0,2;11,45;0,6;0,32;0,4;10
M;0,68;0,52;0,2;1,5;0,59;0,39;0,41;10
F;0,68;0,51;0,2;15,52;0,71;0,34;0,47;11
